"sno","statistic","sepal_length","sepal_width","petal_length","petal_width"
1,"mean","5.01","3.42","1.46","0.24"
2,"median","5.00","3.40","1.50","0.20"
3,"mode","5.00","3.40","1.50","0.20"
4,"minimum","4.30","2.30","1.00","0.10"
5,"maximum","5.80","4.40","1.90","0.60"
6,"range","1.50","2.10","0.90","0.50"
7,"standard deviation","0.35","0.38","0.17","0.11"
8,"variance","0.12","0.15","0.03","0.01"
9,"Q1","4.80","3.13","1.40","0.20"
10,"Q3","5.20","3.68","1.58","0.30"
11,"IQR","0.40","0.55","0.18","0.10"
12,"skewness","0.09","0.16","-0.71","1.09"
